"rep","b","g","x","c","a","w","r","mu","m","theta","tau_s","ep_s","S.pos","P.pos","I_s.pos","I_p.pos","H.pos","S.neg","P.neg","I_s.neg","I_p.neg","H.neg","S.pt.eq","P.pt.eq","I_s.pt.eq","I_p.pt.eq","H.pt.eq","S.cyc1","P.cyc1","I_s.cyc1","I_p.cyc1","H.cyc1","S.cyc2","P.cyc2","I_s.cyc2","I_p.cyc2","H.cyc2","S.NA","P.NA","I_s.NA","I_p.NA","H.NA","qual"
65,5.11038365170826,0.955,1,0.8,0.1,1,2,0.15,0.109225266333669,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.15860676193826","0.28847636649832","1.11408114914496","0.326128910959213","0.865215550696891","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
66,10.113496797994,0.955,1,0.8,0.1,1,2,0.15,0.304824463976547,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.81149318140255","0.912334600584942","1.50080881493385","0.855821597582501","1.32648893240399","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
67,11.0080521449262,0.955,1,0.8,0.1,1,2,0.15,0.637284670141526,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,8.75115329173524,0.955,1,0.8,0.1,1,2,0.15,0.312379924487323,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.73768713465743","0.919097319221417","1.50396524570694","0.881225625231615","1.34810966561709","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
69,8.18351705827774,0.955,1,0.8,0.1,1,2,0.15,0.145825889869593,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.4804181994405","0.412967170865113","1.28885700145","0.4122963838983","0.976728599470053","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
70,16.3775332271897,0.955,1,0.8,0.1,1,2,0.15,0.931178629421629,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2.01322039093184,0.955,1,0.8,0.1,1,2,0.15,0.0835387733997777,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.937583794012989","0.20881116808752","0.965588542528274","0.266753479023441","0.738338548500419","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
72,18.6860985094406,0.955,1,0.8,0.1,1,2,0.15,0.786883040633984,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,5.63633835081743,0.955,1,0.8,0.1,1,2,0.15,0.278014734620228,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.39341372078959","0.762625110014251","1.34440967766124","0.785069016491641","1.24419849104997","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
74,6.4567490303278,0.955,1,0.8,0.1,1,2,0.15,0.253428749111481,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.46215105890414","0.703393747057815","1.36256789771664","0.715503889617365","1.21944963924129","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
75,1.86228158672552,0.955,1,0.8,0.1,1,2,0.15,0.0637913049897179,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.85157367464683","0.156501390745176","0.881893954461569","0.207721703790165","0.638446441739862","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
76,19.4173211847704,0.955,1,0.8,0.1,1,2,0.15,0.397324105375446,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","2.18250915839194","1.2471390664318","1.48550801774031","1.08855208886898","1.49354434668517","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
77,5.76387736148661,0.955,1,0.8,0.1,1,2,0.15,0.2692446451867,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.40522521076911","0.741573282692837","1.3519336987186","0.762585064834511","1.24187348467078","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
78,2.43342953686257,0.955,1,0.8,0.1,1,2,0.15,0.105501679820009,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.995945239760882","0.266916111662488","1.02131028048034","0.327555017488857","0.818337401935952","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
79,9.4453941942059,0.955,1,0.8,0.1,1,2,0.15,0.676970307831652,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1.80869980236891,0.955,1,0.8,0.1,1,2,0.15,0.0867827710928395,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.926875133733092","0.217581655876017","0.963156328051617","0.277898081547198","0.746753630047149","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
81,17.4377863612793,0.955,1,0.8,0.1,1,2,0.15,0.897671983228065,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2.22461019497795,0.955,1,0.8,0.1,1,2,0.15,0.0898563405964524,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.965508690696153","0.225770744194623","0.991591362575919","0.284007663664557","0.767878745416843","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
83,3.02186596828199,0.955,1,0.8,0.1,1,2,0.15,0.103047645068727,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.02567914076586","0.263223373249656","1.0410868500557","0.318839810982676","0.826783279527816","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
84,14.9299875108873,0.955,1,0.8,0.1,1,2,0.15,0.702680580643937,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,6.03425360450342,0.955,1,0.8,0.1,1,2,0.15,0.330381040344946,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.46051757728617","0.917379712920217","1.41207205362986","0.931030671391852","1.34243661876308","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
86,3.74773910574669,0.955,1,0.8,0.1,1,2,0.15,0.11065875031054,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.0798748134861","0.284642105924255","1.07535127272834","0.33535281211015","0.857830216676892","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
87,18.5005531150903,0.955,1,0.8,0.1,1,2,0.15,0.835791992768645,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,21.8789754577139,0.955,1,0.8,0.1,1,2,0.15,0.905872830166481,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2.01970772574783,0.955,1,0.8,0.1,1,2,0.15,0.0995144258253276,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.963863174851634","0.251258119958926","0.999475399460491","0.313810619905713","0.794857709028736","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
90,2.21803383746563,0.955,1,0.8,0.1,1,2,0.15,0.0871371707413346,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.941774903012628","0.219081101786979","0.970500405875625","0.277648056563624","0.752204137811076","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
91,7.09960573635908,0.955,1,0.8,0.1,1,2,0.15,0.0934299434302375,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.25032154117279","0.254963767967633","1.13251796969358","0.270604957476355","0.795636567535469","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
92,7.48996524917661,0.955,1,0.8,0.1,1,2,0.15,0.476132997591048,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,5.79612973606543,0.955,1,0.8,0.1,1,2,0.15,0.155088815721683,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.30250811334393","0.41684522073335","1.21994493751484","0.446308585548021","0.999381248368645","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
94,19.4245200179369,0.955,1,0.8,0.1,1,2,0.15,0.270182809815742,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.94958678317128","0.833593969630447","1.42298720941348","0.730605612402703","1.23104334549218","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
95,6.48225607868077,0.955,1,0.8,0.1,1,2,0.15,0.163918368471786,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.38142880903076","0.451932178931846","1.2692328891368","0.471221267100522","1.03272159807427","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
96,16.1333860495627,0.955,1,0.8,0.1,1,2,0.15,0.585052661574446,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,3.34501163541691,0.955,1,0.8,0.1,1,2,0.15,0.153016172652133,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.12293607031312","0.396879962260701","1.12907422952737","0.452902149612515","0.959312632074374","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
98,6.11827296589963,0.955,1,0.8,0.1,1,2,0.15,0.154148324485868,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.33742403567811","0.419246526024403","1.24195710868079","0.443550148648453","1.00671204819103","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
